symbol,iso_num,fraction
H,1,99.9885
H,2,0.0115
H,3,
He,3,0.000137
He,4,99.999863
Li,6,7.59
Li,7,92.41
Be,7,
Be,9,100
B,10,19.9
B,11,80.1
C,12,98.93
C,13,1.07
N,14,99.632
N,15,0.368
O,16,99.757
O,17,0.038
O,18,0.205
F,19,100
Ne,20,90.48
Ne,21,0.27
Ne,22,9.25
Na,22,
Na,23,100
Mg,24,78.99
Mg,25,10
Mg,26,11.01
Al,26,
Al,27,100
Si,28,92.2296
Si,29,4.6832
Si,30,3.0872
Si,31,
Si,32,
P,31,100
S,32,94.93
S,33,0.76
S,34,4.29
S,35,
S,36,0.02
Cl,35,75.78
Cl,36,
Cl,37,24.22
Ar,36,0.3365
Ar,37,
Ar,38,0.0632
Ar,39,
Ar,40,99.6003
Ar,41,
K,39,93.2581
K,40,0.0117
K,41,6.7302
Ca,40,96.941
Ca,41,
Ca,42,0.647
Ca,43,0.135
Ca,44,2.086
Ca,45,
Ca,46,0.004
Ca,47,
Ca,48,0.187
Sc,45,100
Ti,46,8.25
Ti,47,7.44
Ti,48,73.72
Ti,49,5.41
Ti,50,5.18
V,49,
V,50,0.25
V,51,99.75
Cr,50,4.345
Cr,51,
Cr,52,83.789
Cr,53,9.501
Cr,54,2.365
Mn,54,
Mn,55,100
Fe,54,5.845
Fe,55,
Fe,56,91.754
Fe,57,2.119
Fe,58,0.282
Co,58,
Co,58,
Co,59,100
Ni,58,68.0769
Ni,59,
Ni,60,26.2231
Ni,61,1.1399
Ni,62,3.6345
Ni,63,
Ni,64,0.9256
Cu,63,69.17
Cu,64,
Cu,65,30.83
Zn,64,48.63
Zn,65,
Zn,66,27.9
Zn,67,4.1
Zn,68,18.75
Zn,69,
Zn,70,0.62
Ga,69,60.108
Ga,70,
Ga,71,39.892
Ge,70,20.84
Ge,71,
Ge,72,27.54
Ge,73,7.73
Ge,74,36.28
Ge,75,
Ge,76,7.61
As,73,
As,74,
As,75,100
Se,74,0.89
Se,75,
Se,76,9.37
Se,77,7.63
Se,78,23.77
Se,79,
Se,80,49.61
Se,81,
Se,82,8.73
